PROJETO;BUDGET;Unnamed: 2;Unnamed: 3
ALMOXARIFADO;125.0;;
BRIGADA;560.0;;
CAEX/FINANCEIRO;550.0;;
LIMPEZA;550.0;;
MKT/IMPRENSA;550.0;;
PRODUÇÃO/NÚCLEO;550.0;;
REFEITÓRIO;550.0;;
SEGURANÇA;550.0;;
STAFF;1000.0;;
